!	1.0 ! #1
!!	1.0 ! ! #1
!!!	1.0 ! ! !
"	1.0 " #1
000-074020	1.0 0 0 0 - 0 7 4 0 2 0
0000	1.0 0 0 0 0 #1
000000	1.0 0 0 0 0 0 0 #1
0000000011000140428	1.0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 4 0 4 2 8
000000118927	1.0 0 0 0 0 0 0 1 1 8 9 2 7
000000135412	1.0 0 0 0 0 0 0 1 3 5 4 1 2
000000381000	1.0 0 0 0 0 0 0 3 8 1 0 0 0
000000381093	1.0 0 0 0 0 0 0 3 8 1 0 9 3
000000388658	1.0 0 0 0 0 0 0 3 8 8 6 5 8
000000417969	1.0 0 0 0 0 0 0 4 1 7 9 6 9
000000418218	1.0 0 0 0 0 0 0 4 1 8 2 1 8
000000418294	1.0 0 0 0 0 0 0 4 1 8 2 9 4
000000517515	1.0 0 0 0 0 0 0 5 1 7 5 1 5
000000532075	1.0 0 0 0 0 0 0 5 3 2 0 7 5
000000616775	1.0 0 0 0 0 0 0 6 1 6 7 7 5
0000007802317	1.0 0 0 0 0 0 0 7 8 0 2 3 1 7
000000810692	1.0 0 0 0 0 0 0 8 1 0 6 9 2
000000811101	1.0 0 0 0 0 0 0 8 1 1 1 0 1
000000820868	1.0 0 0 0 0 0 0 8 2 0 8 6 8
000001011536	1.0 0 0 0 0 0 1 0 1 1 5 3 6
000001018506	1.0 0 0 0 0 0 1 0 1 8 5 0 6
000001020138429	1.0 0 0 0 0 0 1 0 2 0 1 3 8 4 2 9
000001038556	1.0 0 0 0 0 0 1 0 3 8 5 5 6
000001048211	1.0 0 0 0 0 0 1 0 4 8 2 1 1
000001057436	1.0 0 0 0 0 0 1 0 5 7 4 3 6
000001058621	1.0 0 0 0 0 0 1 0 5 8 6 2 1
000001082678	1.0 0 0 0 0 0 1 0 8 2 6 7 8
000001397686	1.0 0 0 0 0 0 1 3 9 7 6 8 6
000001427416	1.0 0 0 0 0 0 1 4 2 7 4 1 6
000001501083	1.0 0 0 0 0 0 1 5 0 1 0 8 3
000001888854	1.0 0 0 0 0 0 1 8 8 8 8 5 4
000002003191	1.0 0 0 0 0 0 2 0 0 3 1 9 1
000002009131	1.0 0 0 0 0 0 2 0 0 9 1 3 1
000002336695	1.0 0 0 0 0 0 2 3 3 6 6 9 5
000002781709	1.0 0 0 0 0 0 2 7 8 1 7 0 9
000002926759	1.0 0 0 0 0 0 2 9 2 6 7 5 9
000003384541	1.0 0 0 0 0 0 3 3 8 4 5 4 1
000003596418	1.0 0 0 0 0 0 3 5 9 6 4 1 8
0000036581	1.0 0 0 0 0 0 3 6 5 8 1
000003767016	1.0 0 0 0 0 0 3 7 6 7 0 1 6
000004023432	1.0 0 0 0 0 0 4 0 2 3 4 3 2
000004089728	1.0 0 0 0 0 0 4 0 8 9 7 2 8
000004291008	1.0 0 0 0 0 0 4 2 9 1 0 0 8
000004497295	1.0 0 0 0 0 0 4 4 9 7 2 9 5
000004921851	1.0 0 0 0 0 0 4 9 2 1 8 5 1
000005043675	1.0 0 0 0 0 0 5 0 4 3 6 7 5
000005270385	1.0 0 0 0 0 0 5 2 7 0 3 8 5
000005457342	1.0 0 0 0 0 0 5 4 5 7 3 4 2
000005709410	1.0 0 0 0 0 0 5 7 0 9 4 1 0
000006142384	1.0 0 0 0 0 0 6 1 4 2 3 8 4
000006420611	1.0 0 0 0 0 0 6 4 2 0 6 1 1
000006429720	1.0 0 0 0 0 0 6 4 2 9 7 2 0
000006454333	1.0 0 0 0 0 0 6 4 5 4 3 3 3
000006731878	1.0 0 0 0 0 0 6 7 3 1 8 7 8
000007570247	1.0 0 0 0 0 0 7 5 7 0 2 4 7
000007572029	1.0 0 0 0 0 0 7 5 7 2 0 2 9
000007773877	1.0 0 0 0 0 0 7 7 7 3 8 7 7
000007787980	1.0 0 0 0 0 0 7 7 8 7 9 8 0
000007940774	1.0 0 0 0 0 0 7 9 4 0 7 7 4
000007996511	1.0 0 0 0 0 0 7 9 9 6 5 1 1
000008190901	1.0 0 0 0 0 0 8 1 9 0 9 0 1
000008202802	1.0 0 0 0 0 0 8 2 0 2 8 0 2
000008204363	1.0 0 0 0 0 0 8 2 0 4 3 6 3
000008541987	1.0 0 0 0 0 0 8 5 4 1 9 8 7
000008612854	1.0 0 0 0 0 0 8 6 1 2 8 5 4
000008626349	1.0 0 0 0 0 0 8 6 2 6 3 4 9
00002348	1.0 0 0 0 0 2 3 4 8
00002479	1.0 0 0 0 0 2 4 7 9
00002493	1.0 0 0 0 0 2 4 9 3
000039121	1.0 0 0 0 0 3 9 1 2 1
00004285	1.0 0 0 0 0 4 2 8 5
000048898048	1.0 0 0 0 0 4 8 8 9 8 0 4 8
0001	1.0 0 0 0 1 #1
000115154944	1.0 0 0 0 1 1 5 1 5 4 9 4 4
00012916	1.0 0 0 0 1 2 9 1 6
000129863680	1.0 0 0 0 1 2 9 8 6 3 6 8 0
000136577024	1.0 0 0 0 1 3 6 5 7 7 0 2 4
000143474688	1.0 0 0 0 1 4 3 4 7 4 6 8 8
000144596992)	1.0 0 0 0 1 4 4 5 9 6 9 9 2 )
000145047552	1.0 0 0 0 1 4 5 0 4 7 5 5 2
00014960	1.0 0 0 0 1 4 9 6 0
00015047	1.0 0 0 0 1 5 0 4 7
000150511616)	1.0 0 0 0 1 5 0 5 1 1 6 1 6 )
000153358336	1.0 0 0 0 1 5 3 3 5 8 3 3 6
000155453440	1.0 0 0 0 1 5 5 4 5 3 4 4 0
000181747712	1.0 0 0 0 1 8 1 7 4 7 7 1 2
000182431744	1.0 0 0 0 1 8 2 4 3 1 7 4 4
000184401920	1.0 0 0 0 1 8 4 4 0 1 9 2 0
000203587584	1.0 0 0 0 2 0 3 5 8 7 5 8 4
000220499968	1.0 0 0 0 2 2 0 4 9 9 9 6 8
00023122	1.0 0 0 0 2 3 1 2 2
000241512448	1.0 0 0 0 2 4 1 5 1 2 4 4 8
000243941376)	1.0 0 0 0 2 4 3 9 4 1 3 7 6 )
000292065280	1.0 0 0 0 2 9 2 0 6 5 2 8 0
000294060032)	1.0 0 0 0 2 9 4 0 6 0 0 3 2 )
000306020352)	1.0 0 0 0 3 0 6 0 2 0 3 5 2 )
000306700288)	1.0 0 0 0 3 0 6 7 0 0 2 8 8 )
000313901056	1.0 0 0 0 3 1 3 9 0 1 0 5 6
000342237184	1.0 0 0 0 3 4 2 2 3 7 1 8 4
000349356032	1.0 0 0 0 3 4 9 3 5 6 0 3 2
000364929024	1.0 0 0 0 3 6 4 9 2 9 0 2 4
000377700352)	1.0 0 0 0 3 7 7 7 0 0 3 5 2 )
000381399040	1.0 0 0 0 3 8 1 3 9 9 0 4 0
000384098304	1.0 0 0 0 3 8 4 0 9 8 3 0 4
000394528768	1.0 0 0 0 3 9 4 5 2 8 7 6 8
000416321536)	1.0 0 0 0 4 1 6 3 2 1 5 3 6 )
000417619968	1.0 0 0 0 4 1 7 6 1 9 9 6 8
000423100416	1.0 0 0 0 4 2 3 1 0 0 4 1 6
000429166592	1.0 0 0 0 4 2 9 1 6 6 5 9 2
000433614848	1.0 0 0 0 4 3 3 6 1 4 8 4 8
000435761152)	1.0 0 0 0 4 3 5 7 6 1 1 5 2 )
000468594688	1.0 0 0 0 4 6 8 5 9 4 6 8 8
000473792512)	1.0 0 0 0 4 7 3 7 9 2 5 1 2 )
0005	1.0 0 0 0 5 #1
000504664064)	1.0 0 0 0 5 0 4 6 6 4 0 6 4 )
000517095424	1.0 0 0 0 5 1 7 0 9 5 4 2 4
000534347776	1.0 0 0 0 5 3 4 3 4 7 7 7 6
000549584896	1.0 0 0 0 5 4 9 5 8 4 8 9 6
000551006208	1.0 0 0 0 5 5 1 0 0 6 2 0 8
000555819008	1.0 0 0 0 5 5 5 8 1 9 0 0 8
000565805056	1.0 0 0 0 5 6 5 8 0 5 0 5 6
000584089600	1.0 0 0 0 5 8 4 0 8 9 6 0 0
000605	1.0 0 0 0 6 0 5
000610435072)	1.0 0 0 0 6 1 0 4 3 5 0 7 2 )
000613294080	1.0 0 0 0 6 1 3 2 9 4 0 8 0
000639090688	1.0 0 0 0 6 3 9 0 9 0 6 8 8
000650247680)	1.0 0 0 0 6 5 0 2 4 7 6 8 0 )
000670224384)	1.0 0 0 0 6 7 0 2 2 4 3 8 4 )
000689913856	1.0 0 0 0 6 8 9 9 1 3 8 5 6
000696532992	1.0 0 0 0 6 9 6 5 3 2 9 9 2
000707211264	1.0 0 0 0 7 0 7 2 1 1 2 6 4
000709361664	1.0 0 0 0 7 0 9 3 6 1 6 6 4
000746659840	1.0 0 0 0 7 4 6 6 5 9 8 4 0
000750673920	1.0 0 0 0 7 5 0 6 7 3 9 2 0
000768122880	1.0 0 0 0 7 6 8 1 2 2 8 8 0
000781500416	1.0 0 0 0 7 8 1 5 0 0 4 1 6
000788250624	1.0 0 0 0 7 8 8 2 5 0 6 2 4
000800589824	1.0 0 0 0 8 0 0 5 8 9 8 2 4
000849813504	1.0 0 0 0 8 4 9 8 1 3 5 0 4
000850247680)	1.0 0 0 0 8 5 0 2 4 7 6 8 0 )
000886677504	1.0 0 0 0 8 8 6 6 7 7 5 0 4
000897208320	1.0 0 0 0 8 9 7 2 0 8 3 2 0
000902660096	1.0 0 0 0 9 0 2 6 6 0 0 9 6
000906854400)	1.0 0 0 0 9 0 6 8 5 4 4 0 0 )
000920	1.0 0 0 0 9 2 0
000931172352	1.0 0 0 0 9 3 1 1 7 2 3 5 2
000936312832	1.0 0 0 0 9 3 6 3 1 2 8 3 2
000944312320	1.0 0 0 0 9 4 4 3 1 2 3 2 0
000945983488	1.0 0 0 0 9 4 5 9 8 3 4 8 8
000947339264	1.0 0 0 0 9 4 7 3 3 9 2 6 4
000948487-V	1.0 0 0 0 9 4 8 4 8 7 - V
000960100030435	1.0 0 0 0 9 6 0 1 0 0 0 3 0 4 3 5
000965911P	1.0 0 0 0 9 6 5 9 1 1 P
000988880896	1.0 0 0 0 9 8 8 8 8 0 8 9 6
001	1.0 0 0 1 #1
001-2018-03-18	1.0 0 0 1 - 2 0 1 8 - 0 3 - 1 8
001-2018/02/22	1.0 0 0 1 - 2 0 1 8 / 0 2 / 2 2
001-3246	1.0 0 0 1 - 3 2 4 6
001-9822	1.0 0 0 1 - 9 8 2 2
0010	1.0 0 0 1 0 #1
001005957120	1.0 0 0 1 0 0 5 9 5 7 1 2 0
001006288896	1.0 0 0 1 0 0 6 2 8 8 8 9 6
0010104733	1.0 0 0 1 0 1 0 4 7 3 3
0010111111	1.0 0 0 1 0 1 1 1 1 1 1
001011499008	1.0 0 0 1 0 1 1 4 9 9 0 0 8
0010139	1.0 0 0 1 0 1 3 9
0010291725	1.0 0 0 1 0 2 9 1 7 2 5
0010325	1.0 0 0 1 0 3 2 5
001032994816	1.0 0 0 1 0 3 2 9 9 4 8 1 6
001042104320	1.0 0 0 1 0 4 2 1 0 4 3 2 0
0010447	1.0 0 0 1 0 4 4 7
001055194X	1.0 0 0 1 0 5 5 1 9 4 X
0010555	1.0 0 0 1 0 5 5 5
001065	1.0 0 0 1 0 6 5
001085747200	1.0 0 0 1 0 8 5 7 4 7 2 0 0
001125220352	1.0 0 0 1 1 2 5 2 2 0 3 5 2
001126838272	1.0 0 0 1 1 2 6 8 3 8 2 7 2
001137704960)	1.0 0 0 1 1 3 7 7 0 4 9 6 0 )
001147416576)	1.0 0 0 1 1 4 7 4 1 6 5 7 6 )
001147981824	1.0 0 0 1 1 4 7 9 8 1 8 2 4
00118887	1.0 0 0 1 1 8 8 8 7
001211957248	1.0 0 0 1 2 1 1 9 5 7 2 4 8
001229619200	1.0 0 0 1 2 2 9 6 1 9 2 0 0
001269075968	1.0 0 0 1 2 6 9 0 7 5 9 6 8
00127408	1.0 0 0 1 2 7 4 0 8
001285423104)	1.0 0 0 1 2 8 5 4 2 3 1 0 4 )
0013	1.0 0 0 1 3 #1
001315377152	1.0 0 0 1 3 1 5 3 7 7 1 5 2
001335787520	1.0 0 0 1 3 3 5 7 8 7 5 2 0
001345261568	1.0 0 0 1 3 4 5 2 6 1 5 6 8
001348681728	1.0 0 0 1 3 4 8 6 8 1 7 2 8
001355787520	1.0 0 0 1 3 5 5 7 8 7 5 2 0
001371123712	1.0 0 0 1 3 7 1 1 2 3 7 1 2
001375580160)	1.0 0 0 1 3 7 5 5 8 0 1 6 0 )
001379917824	1.0 0 0 1 3 7 9 9 1 7 8 2 4
001382293504)	1.0 0 0 1 3 8 2 2 9 3 5 0 4 )
001403346944	1.0 0 0 1 4 0 3 3 4 6 9 4 4
001406865408)	1.0 0 0 1 4 0 6 8 6 5 4 0 8 )
001429012480	1.0 0 0 1 4 2 9 0 1 2 4 8 0
001439154176)	1.0 0 0 1 4 3 9 1 5 4 1 7 6 )
001492992000)	1.0 0 0 1 4 9 2 9 9 2 0 0 0 )
001513148416	1.0 0 0 1 5 1 3 1 4 8 4 1 6
001531760640	1.0 0 0 1 5 3 1 7 6 0 6 4 0
001532760064	1.0 0 0 1 5 3 2 7 6 0 0 6 4
001533	1.0 0 0 1 5 3 3
001536708608	1.0 0 0 1 5 3 6 7 0 8 6 0 8
001557721088)	1.0 0 0 1 5 5 7 7 2 1 0 8 8 )
001559298048)	1.0 0 0 1 5 5 9 2 9 8 0 4 8 )
001580630016	1.0 0 0 1 5 8 0 6 3 0 0 1 6
0016	1.0 0 0 1 6 #1
001600892928	1.0 0 0 1 6 0 0 8 9 2 9 2 8
001609584640	1.0 0 0 1 6 0 9 5 8 4 6 4 0
001627654144	1.0 0 0 1 6 2 7 6 5 4 1 4 4
001656262656)	1.0 0 0 1 6 5 6 2 6 2 6 5 6 )
001658445824	1.0 0 0 1 6 5 8 4 4 5 8 2 4
001661886464	1.0 0 0 1 6 6 1 8 8 6 4 6 4
001663156224	1.0 0 0 1 6 6 3 1 5 6 2 2 4
001685499904)	1.0 0 0 1 6 8 5 4 9 9 9 0 4 )
001694261248	1.0 0 0 1 6 9 4 2 6 1 2 4 8
001697	1.0 0 0 1 6 9 7
001707421696	1.0 0 0 1 7 0 7 4 2 1 6 9 6
001716617216	1.0 0 0 1 7 1 6 6 1 7 2 1 6
001725239296	1.0 0 0 1 7 2 5 2 3 9 2 9 6
001734164480	1.0 0 0 1 7 3 4 1 6 4 4 8 0
001741	1.0 0 0 1 7 4 1
001751072768)	1.0 0 0 1 7 5 1 0 7 2 7 6 8 )
0017756	1.0 0 0 1 7 7 5 6
001781	1.0 0 0 1 7 8 1
001800839168	1.0 0 0 1 8 0 0 8 3 9 1 6 8
001805213696	1.0 0 0 1 8 0 5 2 1 3 6 9 6
001813975040	1.0 0 0 1 8 1 3 9 7 5 0 4 0
001828540416	1.0 0 0 1 8 2 8 5 4 0 4 1 6
001837056000	1.0 0 0 1 8 3 7 0 5 6 0 0 0
001872379904	1.0 0 0 1 8 7 2 3 7 9 9 0 4
001881904569068	1.0 0 0 1 8 8 1 9 0 4 5 6 9 0 6 8
001881904580783	1.0 0 0 1 8 8 1 9 0 4 5 8 0 7 8 3
001888309248	1.0 0 0 1 8 8 8 3 0 9 2 4 8
001914093568]	1.0 0 0 1 9 1 4 0 9 3 5 6 8 ]
001921974	1.0 0 0 1 9 2 1 9 7 4 #1
001921974272	1.0 0 0 1 9 2 1 9 7 4 2 7 2
001927782400)	1.0 0 0 1 9 2 7 7 8 2 4 0 0 )
001934041088	1.0 0 0 1 9 3 4 0 4 1 0 8 8
001951645696	1.0 0 0 1 9 5 1 6 4 5 6 9 6
002	1.0 0 0 2 #1
002-2016/05/01	1.0 0 0 2 - 2 0 1 6 / 0 5 / 0 1
002007515136	1.0 0 0 2 0 0 7 5 1 5 1 3 6
002008047616	1.0 0 0 2 0 0 8 0 4 7 6 1 6
002013487104	1.0 0 0 2 0 1 3 4 8 7 1 0 4
002017394688	1.0 0 0 2 0 1 7 3 9 4 6 8 8
002017808384	1.0 0 0 2 0 1 7 8 0 8 3 8 4
0020324	1.0 0 0 2 0 3 2 4
0020329	1.0 0 0 2 0 3 2 9
002043319-W	1.0 0 0 2 0 4 3 3 1 9 - W
002046390272	1.0 0 0 2 0 4 6 3 9 0 2 7 2
002055098368)	1.0 0 0 2 0 5 5 0 9 8 3 6 8 )
002062008320	1.0 0 0 2 0 6 2 0 0 8 3 2 0
002062543-P	1.0 0 0 2 0 6 2 5 4 3 - P
002065464-X	1.0 0 0 2 0 6 5 4 6 4 - X
002069884928	1.0 0 0 2 0 6 9 8 8 4 9 2 8
002077622272	1.0 0 0 2 0 7 7 6 2 2 2 7 2
002105827328	1.0 0 0 2 1 0 5 8 2 7 3 2 8
002108047360	1.0 0 0 2 1 0 8 0 4 7 3 6 0
002115	1.0 0 0 2 1 1 5
002116837376	1.0 0 0 2 1 1 6 8 3 7 3 7 6
002121732096	1.0 0 0 2 1 2 1 7 3 2 0 9 6
002126950400	1.0 0 0 2 1 2 6 9 5 0 4 0 0
002139201536	1.0 0 0 2 1 3 9 2 0 1 5 3 6
002147033088	1.0 0 0 2 1 4 7 0 3 3 0 8 8
0023885	1.0 0 0 2 3 8 8 5
002458685-T	1.0 0 0 2 4 5 8 6 8 5 - T
002511900048269	1.0 0 0 2 5 1 1 9 0 0 0 4 8 2 6 9
0025679	1.0 0 0 2 5 6 7 9
002570632-X	1.0 0 0 2 5 7 0 6 3 2 - X
0026157	1.0 0 0 2 6 1 5 7
002643278-A	1.0 0 0 2 6 4 3 2 7 8 - A
002882	1.0 0 0 2 8 8 2
003281900047036	1.0 0 0 3 2 8 1 9 0 0 0 4 7 0 3 6
003621900031366	1.0 0 0 3 6 2 1 9 0 0 0 3 1 3 6 6
003621900059183	1.0 0 0 3 6 2 1 9 0 0 0 5 9 1 8 3
003621900066840	1.0 0 0 3 6 2 1 9 0 0 0 6 6 8 4 0
00440010036	1.0 0 0 4 4 0 0 1 0 0 3 6
005001(BATANGKALI-1)	1.0 0 0 5 0 0 1 ( B A T A N G K A L I - 1 )
005002(BATANGKALI-2)	1.0 0 0 5 0 0 2 ( B A T A N G K A L I - 2 )
00504664064)	1.0 0 0 5 0 4 6 6 4 0 6 4 )
00518087100028	1.0 0 0 5 1 8 0 8 7 1 0 0 0 2 8
005820091	1.0 0 0 5 8 2 0 0 9 1
006	1.0 0 0 6 #1
00600696305042193	1.0 0 0 6 0 0 6 9 6 3 0 5 0 4 2 1 9 3
00600716214045691	1.0 0 0 6 0 0 7 1 6 2 1 4 0 4 5 6 9 1
00600736354034867	1.0 0 0 6 0 0 7 3 6 3 5 4 0 3 4 8 6 7
006828	1.0 0 0 6 8 2 8
007	1.0 0 0 7 #1
0070177	1.0 0 0 7 0 1 7 7
0070265	1.0 0 0 7 0 2 6 5
008	1.0 0 0 8 #1
0080567	1.0 0 0 8 0 5 6 7
008558	1.0 0 0 8 5 5 8
0092000	1.0 0 0 9 2 0 0 0
00:05	1.0 0 0 : 0 5
00:06:00	1.0 0 0 : 0 6 : 0 0
00:23	1.0 0 0 : 2 3
00PM	1.0 0 0 P M
01	1.0 0 1 #1
01-03-18	1.0 0 1 - 0 3 - 1 8
01-06-2018	1.0 0 1 - 0 6 - 2 0 1 8
01-11-17	1.0 0 1 - 1 1 - 1 7
01-143008	1.0 0 1 - 1 4 3 0 0 8
01-145995	1.0 0 1 - 1 4 5 9 9 5
01-283886	1.0 0 1 - 2 8 3 8 8 6
01-428985	1.0 0 1 - 4 2 8 9 8 5
01-NOV-2017	1.0 0 1 - N O V - 2 0 1 7
01.10	1.0 0 1 . 1 0
01/02/2018	1.0 0 1 / 0 2 / 2 0 1 8
01/04/2018	1.0 0 1 / 0 4 / 2 0 1 8
01/05/16	1.0 0 1 / 0 5 / 1 6
01/10/2017	1.0 0 1 / 1 0 / 2 0 1 7
01/11/2017	1.0 0 1 / 1 1 / 2 0 1 7
010	1.0 0 1 0 #1
010-2022293	1.0 0 1 0 - 2 0 2 2 2 9 3
01000339450	1.0 0 1 0 0 0 3 3 9 4 5 0
010100	1.0 0 1 0 1 0 0
010400058	1.0 0 1 0 4 0 0 0 5 8
010700031	1.0 0 1 0 7 0 0 0 3 1
010700060	1.0 0 1 0 7 0 0 0 6 0
010700098	1.0 0 1 0 7 0 0 0 9 8
0109	1.0 0 1 0 9
011-3194	1.0 0 1 1 - 3 1 9 4
0111-558	1.0 0 1 1 1 - 5 5 8
011100029	1.0 0 1 1 1 0 0 0 2 9
0119}	1.0 0 1 1 9 }
012	1.0 0 1 2 #1
012-2060	1.0 0 1 2 - 2 0 6 0
012-3216447	1.0 0 1 2 - 3 2 1 6 4 4 7
012-5389466	1.0 0 1 2 - 5 3 8 9 4 6 6
012-6369400	1.0 0 1 2 - 6 3 6 9 4 0 0
012-659	1.0 0 1 2 - 6 5 9
012-7092889	1.0 0 1 2 - 7 0 9 2 8 8 9
012-9719498	1.0 0 1 2 - 9 7 1 9 4 9 8
0122648835	1.0 0 1 2 2 6 4 8 8 3 5
012700007	1.0 0 1 2 7 0 0 0 0 7
01270100	1.0 0 1 2 7 0 1 0 0
013	1.0 0 1 3 #1
013-336	1.0 0 1 3 - 3 3 6
013-7279552	1.0 0 1 3 - 7 2 7 9 5 5 2
0133	1.0 0 1 3 3
0139	1.0 0 1 3 9
016-2014209	1.0 0 1 6 - 2 0 1 4 2 0 9
016-3020	1.0 0 1 6 - 3 0 2 0
016-5498845	1.0 0 1 6 - 5 4 9 8 8 4 5 #1
016-5498845.	1.0 0 1 6 - 5 4 9 8 8 4 5 .
016-680	1.0 0 1 6 - 6 8 0
016-7574666	1.0 0 1 6 - 7 5 7 4 6 6 6
016-7993391	1.0 0 1 6 - 7 9 9 3 3 9 1
0163307491	1.0 0 1 6 3 3 0 7 4 9 1
017	1.0 0 1 7 #1
017-6057770	1.0 0 1 7 - 6 0 5 7 7 7 0
017-7765076	1.0 0 1 7 - 7 7 6 5 0 7 6
0170023	1.0 0 1 7 0 0 2 3
019-7521215	1.0 0 1 9 - 7 5 2 1 2 1 5
0195932-X	1.0 0 1 9 5 9 3 2 - X
01:09:47	1.0 0 1 : 0 9 : 4 7
01:11PM	1.0 0 1 : 1 1 P M
01:15PM	1.0 0 1 : 1 5 P M
01:31:54	1.0 0 1 : 3 1 : 5 4
01:34PM	1.0 0 1 : 3 4 P M
01:48:57	1.0 0 1 : 4 8 : 5 7
01:55:59	1.0 0 1 : 5 5 : 5 9
01:57PM	1.0 0 1 : 5 7 P M
02	1.0 0 2 #1
02-03-18	1.0 0 2 - 0 3 - 1 8
02-04-2018	1.0 0 2 - 0 4 - 2 0 1 8
02-05-18	1.0 0 2 - 0 5 - 1 8
02.80	1.0 0 2 . 8 0
02/01/2018	1.0 0 2 / 0 1 / 2 0 1 8
02/02/2017	1.0 0 2 / 0 2 / 2 0 1 7
02/02/2018	1.0 0 2 / 0 2 / 2 0 1 8
02/03/18	1.0 0 2 / 0 3 / 1 8
02/03/2018	1.0 0 2 / 0 3 / 2 0 1 8
02/05/2018	1.0 0 2 / 0 5 / 2 0 1 8
02/06/18	1.0 0 2 / 0 6 / 1 8
02/12/2017	1.0 0 2 / 1 2 / 2 0 1 7
02/JAN/2017	1.0 0 2 / J A N / 2 0 1 7
0200419363	1.0 0 2 0 0 4 1 9 3 6 3
0235138	1.0 0 2 3 5 1 3 8
02472951053011038178353570??	1.0 0 2 4 7 2 9 5 1 0 5 3 0 1 1 0 3 8 1 7 8 3 5 3 5 7 0 ? ?
0249	1.0 0 2 4 9
0252828	1.0 0 2 5 2 8 2 8
0255	1.0 0 2 5 5
026	1.0 0 2 6 #1
0260073	1.0 0 2 6 0 0 7 3
0260452	1.0 0 2 6 0 4 5 2
0276649	1.0 0 2 7 6 6 4 9
0284	1.0 0 2 8 4
0293605	1.0 0 2 9 3 6 0 5
02992887002011018150387040??	1.0 0 2 9 9 2 8 8 7 0 0 2 0 1 1 0 1 8 1 5 0 3 8 7 0 4 0 ? ?
02992887002011018176397900??	1.0 0 2 9 9 2 8 8 7 0 0 2 0 1 1 0 1 8 1 7 6 3 9 7 9 0 0 ? ?
02:11:23	1.0 0 2 : 1 1 : 2 3
02:29	1.0 0 2 : 2 9 #1
02:29:13	1.0 0 2 : 2 9 : 1 3
02:31PM	1.0 0 2 : 3 1 P M
02:56PM	1.0 0 2 : 5 6 P M
03	1.0 0 3 #1
03-	1.0 0 3 - #1
03-02-16	1.0 0 3 - 0 2 - 1 6
03-02-18	1.0 0 3 - 0 2 - 1 8
03-05-18	1.0 0 3 - 0 5 - 1 8
03-20782822	1.0 0 3 - 2 0 7 8 2 8 2 2
03-2093	1.0 0 3 - 2 0 9 3
03-2163	1.0 0 3 - 2 1 6 3
03-2164	1.0 0 3 - 2 1 6 4
03-2181	1.0 0 3 - 2 1 8 1
03-2726-5600	1.0 0 3 - 2 7 2 6 - 5 6 0 0
03-3271	1.0 0 3 - 3 2 7 1
03-3279	1.0 0 3 - 3 2 7 9
03-40210276	1.0 0 3 - 4 0 2 1 0 2 7 6
03-40211233	1.0 0 3 - 4 0 2 1 1 2 3 3
03-40223233	1.0 0 3 - 4 0 2 2 3 2 3 3
03-4043	1.0 0 3 - 4 0 4 3
03-41056485	1.0 0 3 - 4 1 0 5 6 4 8 5
03-41318972	1.0 0 3 - 4 1 3 1 8 9 7 2
03-41424540/20	1.0 0 3 - 4 1 4 2 4 5 4 0 / 2 0
03-4161	1.0 0 3 - 4 1 6 1
03-4162-2318	1.0 0 3 - 4 1 6 2 - 2 3 1 8
03-42601064/66	1.0 0 3 - 4 2 6 0 1 0 6 4 / 6 6
03-4296	1.0 0 3 - 4 2 9 6
03-51213881	1.0 0 3 - 5 1 2 1 3 8 8 1
03-51215716	1.0 0 3 - 5 1 2 1 5 7 1 6
03-51217970	1.0 0 3 - 5 1 2 1 7 9 7 0
03-51218059	1.0 0 3 - 5 1 2 1 8 0 5 9
03-55107309	1.0 0 3 - 5 5 1 0 7 3 0 9
03-5519	1.0 0 3 - 5 5 1 9
03-55235214	1.0 0 3 - 5 5 2 3 5 2 1 4
03-55250588	1.0 0 3 - 5 5 2 5 0 5 8 8
03-56127718	1.0 0 3 - 5 6 1 2 7 7 1 8
03-58919941	1.0 0 3 - 5 8 9 1 9 9 4 1
03-60570314	1.0 0 3 - 6 0 5 7 0 3 1 4
03-60571377	1.0 0 3 - 6 0 5 7 1 3 7 7
03-6092-1968	1.0 0 3 - 6 0 9 2 - 1 9 6 8
03-6093	1.0 0 3 - 6 0 9 3
03-6156-2180	1.0 0 3 - 6 1 5 6 - 2 1 8 0
03-61855688	1.0 0 3 - 6 1 8 5 5 6 8 8
03-6205	1.0 0 3 - 6 2 0 5
03-6251	1.0 0 3 - 6 2 5 1
03-6258	1.0 0 3 - 6 2 5 8 #1
03-62587995	1.0 0 3 - 6 2 5 8 7 9 9 5
03-6259-6498	1.0 0 3 - 6 2 5 9 - 6 4 9 8
03-62612536	1.0 0 3 - 6 2 6 1 2 5 3 6
03-62636977	1.0 0 3 - 6 2 6 3 6 9 7 7
03-62801198	1.0 0 3 - 6 2 8 0 1 1 9 8
03-77100299	1.0 0 3 - 7 7 1 0 0 2 9 9
03-77271129	1.0 0 3 - 7 7 2 7 1 1 2 9
03-77278929	1.0 0 3 - 7 7 2 7 8 9 2 9
03-7731	1.0 0 3 - 7 7 3 1
03-77343662	1.0 0 3 - 7 7 3 4 3 6 6 2
03-77347762	1.0 0 3 - 7 7 3 4 7 7 6 2
03-7805	1.0 0 3 - 7 8 0 5
03-7832	1.0 0 3 - 7 8 3 2 #1
03-78327762	1.0 0 3 - 7 8 3 2 7 7 6 2
03-7845	1.0 0 3 - 7 8 4 5 #1
03-78459183	1.0 0 3 - 7 8 4 5 9 1 8 3
03-78590861	1.0 0 3 - 7 8 5 9 0 8 6 1
03-78590864	1.0 0 3 - 7 8 5 9 0 8 6 4
